publisherID,contactID,contactname,title,uniqueKey,statType,description,metaDescription,applicationName,media,taskUrl,status,authenticated,displayVersion,imageSetId,largeIcon,categoryId,Categories,markets,Interests,roleId,Roles,releaseNotes
1361,1089,Conferences & Visitor Services,TerpNav,terpnav,USER,"TerpNav is a system developed by University of Maryland undergraduate students intended to give its users a direct route from one campus location to another. The map provides layers, such as bike friendly areas, dining locations, visitor information, student parking","If you need to find out how to get around campus, TerpNav is your go-to tool!",,,https://terpnav.umd.edu,Active,None,1.0.0,3538,null,"1384, 1395 ","Commuting, Seeking, Visiting",1103,Transportation,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,1079,Adele H. Stamp Union,TerpZone,terpzone,USER,"The TerpZone welcomes anyone from students and faculty to alumni and visitors to enjoy everything the facility offers, including (8) Brunswick Bowling Lanes, (10) Gold Crown 9' Billiard Tables, Video Arcade Games and a Lounge Area with (1) 120"" Projection Screen TV & (4) 50"" Plasma TVs.",Looking for something fun to do on campus? Come to TerpZone for some classic fun and an amazing atmosphere!,,,http://thestamp.umd.edu/terpzone,Active,None,1.0.0,3538,null,"1396, 1395","Socializing, Seeking, Living",1101,Recreation,"1045, 1081, 1046, 1047 1082","Faculty, Parents, Staff, Student Visitors",1.0.0
1361,,,The Clarice Smith Performing Arts Center,cspac,USER,The Clarice Smith Performing Arts Center (CSPAC) is an artisitc hub that develops the next generation of artists and creative innovators. The Clarice frequently hosts performers of different artistic disciplines for the University's students and the community to see. CSPAC also gives students a chance to artistically express themselves through Open Mic events. ,"Looking to watch a play, a musical, attend a concert, or perform at an open mic night? Head down to the Clarice Performing Arts Center and experience all they have to offer!",,,https://theclarice.umd.edu,Active,None,1.0.0,3538,null,"1396, 1395","Socializing, Seeking",1095,Community,"1045, 1081, 1046, 1047 1082","Faculty, Parents, Staff, Student Visitors",1.0.0
1361,1079,Adele H. Stamp Union,Student Entertainment Events,see,USER,"Student Entertainment Events (SEE) is the principal student programming board responsible for producing and supporting campus events that entertain, enhance, and inspire a diverse campus culture.","If you want to catch a recently released movie for free, attend a comedy performance, or experience a concert with some of the biggest artists of our time, check out SEE!",,,http://www.see.umd.edu,Active,None,1.0.0,3538,null,1396," Socializing, Networking, Working",1101,Recreation,"1047, 1082","Students, Visitors",1.0.0
1361,,,UMD Campus Pantry,campuspantry,USER,"he University of Maryland Campus Pantry’s mission is to alleviate food hardship among UMD-College Park students, faculty and staff by providing emergency food to University of Maryland College Park students, faculty, and staff in need.",Help eliminate food hardship at the UMD College Park campus and donate to the UMD Campus Pantry today!,,,http://campuspantry.umd.edu,Active,None,1.0.0,3538,null,"1386, 1400","Giving, Working, Networking, Socializing",1102,Resources,"1047, 1045","Students, Faculty",1.0.0
1361,,,Student Success Emergency Scholarship Fund ,sslcscholarship,USER,The Student Success Leadership Council is a student-led organization that is dedicated to facilitating academic excellence among black students. We strive to retain students by building a strong community and providing access to academic and financial resources. We are committed to sustaining and growing ourselves as a body of student leaders that actively serve to advocate for black students at the University of Maryland.,Donate to the Student Success Emergency Scholarship fund today and help a UMD College Park student in need!,,,https://www.launch.umd.edu/project/2032,Active,None,1.0.0,3538,null,"1386, 1395","Giving, Seeking",1102,Resources,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,,,College Park Aviation Museum,cpaviationmuseum,USER,"The College Park Aviation Museum is dedicated to preserving and promoting aviation innovations at College Park Airport and in Prince George’s County while fostering research, inventiveness, and lifelong curiosity about the history and science of flight.","If you're looking for a fun event to do off of campus, visit the College Park Aviation Museum!",,,http://www.collegeparkaviationmuseum.com/home.htm,Active,None,1.0.0,3538,null,"Community, 1396, 1397, 1394, 1387, 1399","Socializing, Studying, Researching, Learning, Visiting, Seeking",1095,Community,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,,,Herbert Wells Ice Rink,icerink,USER,"The Herbert Wells Ice Rink is an amazing option if you're looking to go have a good time in the College Park area. The ice rink's amenities include a changing area, showers, locker rooms, a vending area, a warming hut with a fireplace, and a party room by rental. ","Whether it's raining or sunny outside, the Herbert Wells Ice Rink is the perfect place to go have a good time while being active!",,,http://www.pgparks.com/Things_To_Do/Sports/Ice_Skating/Herbert_Wells_Ice_Rink.htm,Active,None,1.0.0,3538,null,"Community,  1396","Socializing, Visiting",1101,Recreation,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,,,The Pride,thepride,USER,"The Pride is the official student fan organization of Maryland Athletics. We aim to promote school spirit by enhancing the atmosphere at all University of Maryland athletic events, at home and on the road.","If you're interested in supporting UMD athletics, join The Pride today!",,,http://www.umterps.com/SportSelect.dbml?DB_OEM_ID=29700&SPID=176109&SPSID=1038110&KEY=,Active,None,1.0.0,3538,null,"1396, 1385",Socializing,1101,Recreation,1047,Student,1.0.0
1361,1080,University Recreation & Wellness,Maryland Women's Tennis,womenstennis,USER,Stay up to date on the Maryland Women's Tennis Team!,"If you are interested in Maryland's Women's Tennis Team, then keep up with them on their website!",,,http://www.umterps.com/SportSelect.dbml?&DB_OEM_ID=29700&SPID=120722&SPSID=716376,Active,None,1.0.0,3538,null,"Community,  1396",Socializing,1095,Community,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,1080,University Recreation & Wellness,UMD Club Softball,clubsoftball,USER,Interested in softball? Come out and see what the UMD Club Softball team has to offer.,"If you are interested in Maryland's Women's Tennis Team, then follow them on social media!",,,https://t.co/BQMKY7RV98,Active,None,1.0.0,3538,null,"Community,  1396",Socializing,1101,Recreation,"1047, 1081","Student, Parents",1.0.0
1361,,,"The International Student Council, School of Public Policy",issspp,USER,"If you are interested in international public policy, join the SPP ISC today!","If you are interested in international public policy, join the SPP ISC today!",,,https://t.co/O51IjQomMY,Active,None,1.0.0,3538,null,"Community,  1396, 1387","Socializing, Learning",1102,Resources,1047,Student,1.0.0
1361,1260,Maryland Center for Undergraduate Research,The First-Year Innovation & Research Experience,fireprogram,USER,"The First-Year Innovation & Research Experience provides first-year students authentic research experience, broad mentorship and institutional connections that impact academic success, personal resilience and professional development.","If you are interested in getting research experience during your freshman year, check out F.I.R.E. today!",,,http://t.co/DjtoqJYm7l,Active,None,1.0.0,3538,null,"Resources, 1387, 1392 1395, 1400","Learning, Publishing Seeking, Working",1094,Academics,1047,Student,1.0.0
1361,,,Impact UMD,impactumd,USER,Interested in strengthening your religious basis? Check out Impact UMD Today!," Join Impact UMD for worship, preaching/teaching and expect a move of God.",,,https://www.facebook.com/UmdApostolicCampusMinistry#,Active,None,1.0.0,3538,null,"Resources, 1395",Seeking,1095,Community,1047,Student,1.0.0
1361,,,Krazi Kebob,krazikebob,USER,Krazi Kebob specializes in crafting mouth-watering meals and providing superb customer service. Order online for delivery or pickup!,Check out Krazi Kebob if you want to try some amazing food off campus!,,,krazikebob.com,Active,None,1.0.0,3538,null,"1396, 1400, 1388, 1395","Socializing, Working, Living, Seeking, Visiting",1096,Dining,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,1086,Fraternity & Sorority Life,Pi Kappa Alpha Fraternity,pikappaalpha,USER,"Pi Kappa Alpha has remained dedicated to developing men of integrity, intellect, success and high moral character, and to fostering a truly lifelong fraternal experience.","Pi Kappa Alpha is dedicated to developing men of integrity, intellect, and high moral character and to fostering a truly lifelong fraternal experience.",,,http://www.pikes.org/,Active,None,1.0.0,3538,null,"Community,  1396",Socializing,1095,Community,1047,Student,1.0.0
1361,,,Sisterhood of Univty and Love,soul,USER,"The Sisterhood of Unity & Love (S.O.U.L) at UMCP are dedicated to the development & betterment of Black women. They are devoted to our Black female community, we want to provide them with the opportunity to learn, know, appreciate and understand our culture and our everyday experiences.",We are the Sisterhood of Unity & Love (S.O.U.L) at UMCP dedicated to the development & betterment of Black women. Join us today! ,,,soulumd.blogspot.com,Active,None,1.0.0,3538,null,"1386, 1387, 1390, 1395, 1396","Giving, Learning, Networking, Seeking, Socializing",1095,Community,1047,Student,1.0.0
1361,1086,Fraternity & Sorority Life,"Delta Phi Epsilon, Delta Xi",deltaphiepsilon,USER,"Since the arrival of Delta Phi Epsilon, Delta Xi on campus in 1963, they have prided ourselves on our unique qualities.  With loyalty, friendship and individuality as priorities of this chapter, it's no wonder the sisters of DPhiE share such tight knit bonds.  The DPhiE sisterhood, above anything else, encourages each sisters to be true to who she is.  Their welcoming atmosphere allows each member to feel comfortable and included in an amazing lifelong experience.  By balancing social, academic and philanthropic aspects, their house continues to prove itself as a great environment for it's sisters to flourish.",Check out the Delta Ix Chapter of Delta Phi Epsilon if you are interested in collegiate sisterhood!,,,https://twitter.com/DPHIE_UMD,Active,None,1.0.0,3538,null,"Community,  1396",Socializing,1095,Community,1047,Student,1.0.0
1361,,,University of Maryland American Society of Civil Engineers,asce,USER,"Founded in 1852, the American Society of Civil Engineers is the oldest national professional engineering society in the United States. Our chapter connects over 300 civil and environmental engineering students with peers, employers, and opportunities for real-world engineering applications. The ASCE UMD Chapter is open to all University of Maryland students and faculty.  You do not need to be a civil engineer (or an engineer at all!) in order to join. You also have the option to be a paid member if you are interested in Lounge Access or our Test Bank. They offer great networking opportunities for students through social, career, philanthropic, and joint society events.  Members are notified regularly of ASCE student chapter events, as well as job, scholarship, and networking opportunities. ","If you're a civil engeering at the University of Maryland,  then the American Society of Civil Engineers is the perfect organization for you!",,,ascemaryland.org,Active,None,1.0.0,3538,null,"1390, 1387, 1392, 1395, 1400, 1396","Networking, Learning, Publishing, Seeking, Working, Socializing",1094,Academics,1047,Student,1.0.0
1361,1080,University Recreation & Wellness,Maryland Gymnastics,gymnastics,USER,Come support our Maryland Gymnastics team and exude Maryland Pride!,Come support our Maryland Gymnastics team and exude Maryland Pride!,,,https://t.co/QLhL2aVfc3,Active,None,1.0.0,3538,null,"1388, 1395, 1396, 1390","Living, Seeking, Socializing, Networking",1101,Recreation,"1047, 1045, 1081, 1046, 1082","Student, Faculty, Parents, Staff, Visitors",1.0.0
1361,1086,Fraternity & Sorority Life,Beta Theta Pi Fraternity,betathetapi,USER,Beta Theta Pi aims to develop Men of Principle for a Principled Life. ,Beta Theta Pi aims to develop Men of Principle for a Principled Life. ,,,http://umd.beta.org,Active,None,1.0.0,3538,null,"Community,  1396",Socializing,1095,Community ,1047,Student,1.0.0
1361,1086,Fraternity & Sorority Life,Alpha Chi Omega Sorority,alphachiomega,USER,Alpha Chi Omega is at the forefront of women’s fraternal organizations as they strive to position their members for success both today and in the future. The Foundation’s mission is to support the educational and philanthropic purposes of Alpha Chi Omega through effective fundraising and stewardship of financial resources.,"Come ""seek the heights"" with Alpha Chi Omega!",,,https://www.facebook.com/AlphaChiOmegaUMD/,Active,None,1.0.0,3538,null,"Community,  1396",Socializing,1095,Community ,1047,Student,1.0.0
